process,process,process,process,process,process,process,process,process,process,process,process,process,process,sensor,sensor,sensor,sensor,sensor,sensor,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defects,defect_flag
velocity_1,velocity_2,velocity_3,high_velocity,cylinder_pressure,rapid_rise_time,biscuit_thickness,clamping_force,cycle_time,pressure_rise_time,casting_pressure,spray_time,spray_1_time,spray_2_time,melting_furnace_temp,air_pressure,coolant_temp,coolant_pressure,factory_temp,factory_humidity,short_shot_1,bubble_1,blow_hole_1,stain_1,dent_1,crack_1,scratch_1,buring_mark_1,short_shot_2,blow_hole_2,dent_2,crack_2,is_defect
0.158,0.162,0.202,2.726,264,0.012,17,359,34.2,0.042,595,10.0,2.0,2.7,660.1,6.1,26.4,2.7,34.5,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.172,0.208,2.721,264,0.011,17,359,34.1,0.041,595,10.1,2.0,2.7,660.1,6.1,26.4,2.7,34.5,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157,0.164,0.198,2.685,264,0.012,17,359,34.2,0.042,594,10.0,2.0,2.7,659.6,6.0,26.4,2.71,34.5,52.7,0,0,0,0,0,0,0,1,0,0,0,0,1
0.155,0.162,0.212,2.69,264,0.013,16,346,34.0,0.04,595,10.1,2.0,2.7,659.6,6.0,26.4,2.71,34.5,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.164,0.202,2.701,265,0.012,17,348,33.9,0.04,595,10.0,2.0,2.7,659.3,6.0,26.4,2.72,34.6,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.166,0.21,2.724,264,0.012,18,348,33.9,0.041,594,10.0,2.0,2.7,659.3,6.0,26.4,2.7,34.6,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.172,0.208,2.723,264,0.012,18,361,33.9,0.042,595,10.0,2.0,2.7,659.3,6.0,26.4,2.7,34.6,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.164,0.194,2.702,264,0.014,19,363,33.9,0.041,595,10.0,2.0,2.7,658.7,5.9,26.4,2.7,34.5,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.16,0.204,2.681,264,0.011,18,363,34.0,0.039,595,10.0,2.0,2.7,658.7,5.9,26.4,2.7,34.5,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.16,0.204,2.681,264,0.011,18,363,34.0,0.039,595,10.0,2.0,2.7,657.9,5.9,26.4,2.68,34.4,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.172,0.204,2.687,264,0.012,16,354,33.9,0.041,593,10.0,2.0,2.7,657.9,5.9,26.4,2.68,34.4,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.171,0.202,2.694,264,0.012,18,354,33.9,0.041,594,10.0,2.0,2.7,657.2,5.9,26.4,2.7,34.4,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152,0.17,0.202,2.695,264,0.012,16,364,33.9,0.04,594,10.0,2.0,2.7,656.5,5.9,26.4,2.71,34.4,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.17,0.204,2.675,263,0.011,15,363,33.9,0.044,593,10.0,2.0,2.7,656.5,5.9,26.4,2.71,34.4,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.168,0.204,2.729,264,0.012,16,363,33.9,0.041,594,10.0,2.0,2.7,655.7,5.9,26.4,2.72,34.4,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.164,0.204,2.694,264,0.012,17,354,33.9,0.041,594,10.0,2.0,2.7,655.7,5.9,26.4,2.72,34.4,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144,0.171,0.208,2.703,265,0.014,18,354,33.9,0.042,595,10.0,2.0,2.7,655.4,5.9,26.4,2.71,34.3,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148,0.166,0.197,2.713,264,0.012,18,354,33.9,0.042,595,10.0,2.0,2.7,655.4,5.9,26.4,2.71,34.3,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154,0.172,0.214,2.714,264,0.014,17,359,33.9,0.042,595,10.0,2.0,2.7,654.6,5.9,26.4,2.7,34.2,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156,0.164,0.21,2.694,264,0.012,16,363,34.0,0.04,595,10.0,2.0,2.7,654.5,5.9,26.4,2.71,34.2,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.168,0.208,2.721,264,0.011,18,361,33.9,0.042,594,10.0,2.0,2.7,654.5,5.9,26.4,2.71,34.2,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.166,0.202,2.697,264,0.012,18,352,34.0,0.04,594,10.0,2.0,2.7,654.5,6.0,26.4,2.68,34.2,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.172,0.198,2.682,263,0.012,15,354,33.9,0.042,593,10.1,2.0,2.7,654.5,6.0,26.5,2.7,34.2,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158,0.162,0.214,2.717,264,0.013,17,352,34.0,0.04,595,10.0,2.0,2.7,654.5,6.0,26.5,2.7,34.2,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0.168,0.208,2.722,264,0.012,17,363,33.9,0.04,594,10.1,2.0,2.7,655.0,6.0,26.5,2.7,34.2,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144,0.162,0.195,2.724,264,0.011,17,364,34.0,0.042,595,10.1,2.0,2.7,655.0,6.0,26.5,2.7,34.2,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
