process_velocity_1,process_velocity_2,process_velocity_3,process_high_velocity,process_cylinder_pressure,process_rapid_rise_time,process_biscuit_thickness,process_clamping_force,process_cycle_time,process_pressure_rise_time,process_casting_pressure,process_spray_time,process_spray_1_time,process_spray_2_time,sensor_melting_furnace_temp,sensor_air_pressure,sensor_air_pressure_min,sensor_air_pressure_max,sensor_coolant_temp,sensor_coolant_temp_min,sensor_coolant_temp_max,sensor_coolant_pressure,sensor_factory_temp,sensor_factory_temp_min,sensor_factory_temp_max,sensor_factory_humidity,sensor_factory_humidity_min,sensor_factory_humidity_max
0.142,0.168,0.188,2.151,218,0.016,11,255,20.9,0.042,1053,8.1,1.0,0.8,705.0,6.5,3,9,26.8,10,50,2.71,35.2,18.0,22.0,50.2,18.0,22.0
0.14,0.168,0.174,2.147,217,0.007,11,254,20.7,0.042,1052,7.9,0.8,0.8,707.5,6.3,3,9,26.2,10,50,2.75,31.8,18.0,22.0,63.6,18.0,22.0
0.14,0.168,0.186,2.137,218,0.008,11,257,20.8,0.044,1053,8.0,1.0,0.8,683.7,5.4,3,9,27.0,10,50,2.7,36.8,18.0,22.0,46.3,18.0,22.0
0.142,0.17,0.174,2.1,234,0.008,14,258,22.6,0.035,1134,9.8,1.2,0.7,693.4,6.8,3,9,27.3,10,50,2.62,32.0,18.0,22.0,69.0,18.0,22.0
0.141,0.17,0.18,2.127,218,0.008,10,253,20.8,0.044,1055,8.0,1.0,0.8,730.0,5.9,3,9,26.0,10,50,2.74,30.7,18.0,22.0,66.5,18.0,22.0
0.142,0.166,0.186,2.134,218,0.008,11,255,20.9,0.043,1055,8.0,1.0,0.8,698.5,6.6,3,9,27.3,10,50,2.72,36.3,18.0,22.0,46.6,18.0,22.0
0.144,0.166,0.184,2.125,219,0.007,14,255,21.3,0.034,1058,8.4,1.0,0.8,715.9,4.9,3,9,27.2,10,50,2.74,32.5,18.0,22.0,63.9,18.0,22.0
0.142,0.17,0.178,2.124,214,0.008,11,257,21.2,0.043,1036,8.3,0.8,0.8,674.8,6.0,3,9,26.8,10,50,2.73,32.4,18.0,22.0,61.6,18.0,22.0
0.141,0.166,0.184,2.119,216,0.008,13,257,21.2,0.043,1044,8.4,0.8,0.8,678.7,6.9,3,9,26.9,10,50,2.73,32.2,18.0,22.0,62.8,18.0,22.0
0.141,0.17,0.178,2.155,215,0.007,12,257,20.8,0.042,1040,8.1,1.0,0.8,695.4,6.6,3,9,26.6,10,50,2.69,34.9,18.0,22.0,51.9,18.0,22.0
0.146,0.164,0.176,2.165,218,0.008,12,257,20.8,0.044,1053,8.0,1.0,0.8,690.8,5.8,3,9,27.0,10,50,2.7,36.0,18.0,22.0,46.7,18.0,22.0
0.142,0.168,0.184,2.173,217,0.01,11,257,21.0,0.041,1050,8.1,1.0,0.8,692.6,6.2,3,9,26.5,10,50,2.69,34.1,18.0,22.0,53.8,18.0,22.0
0.142,0.168,0.176,2.151,215,0.008,12,258,20.8,0.044,1040,8.0,1.0,0.8,682.0,5.4,3,9,27.0,10,50,2.71,36.9,18.0,22.0,46.3,18.0,22.0
0.144,0.166,0.184,2.145,214,0.008,11,259,20.8,0.042,1035,7.9,0.8,0.8,700.4,6.4,3,9,26.3,10,50,2.75,31.6,18.0,22.0,63.0,18.0,22.0
0.142,0.168,0.186,2.121,218,0.008,12,258,21.2,0.043,1056,8.3,0.8,0.8,702.7,5.3,3,9,27.1,10,50,2.76,32.0,18.0,22.0,69.3,18.0,22.0
0.142,0.17,0.18,2.154,218,0.01,12,255,21.2,0.033,1054,8.3,0.8,0.8,685.2,6.0,3,9,26.8,10,50,2.76,32.3,18.0,22.0,62.1,18.0,22.0
0.14,0.168,0.176,2.156,214,0.008,11,251,20.7,0.041,1036,7.8,0.8,0.8,697.0,5.8,3,9,26.1,10,50,2.76,31.0,18.0,22.0,66.0,18.0,22.0
0.142,0.168,0.186,2.123,217,0.008,11,257,20.9,0.044,1051,8.1,1.0,0.8,689.5,6.2,3,9,26.5,10,50,2.7,34.2,18.0,22.0,53.7,18.0,22.0
0.144,0.17,0.176,2.155,218,0.014,13,254,21.2,0.044,1055,8.4,1.0,0.8,714.7,4.9,3,9,27.3,10,50,2.74,32.5,18.0,22.0,63.9,18.0,22.0
